V,E,sccs,boost,boostCorrected,tarjan_map,tarjan_mapCorrected,nuutila1_map,nuutila1_mapCorrected,nuutila1_iterative,nuutila1_iterativeCorrected,nuutila2_map,nuutila2_mapCorrected,nuutila2_iterative,nuutila2_iterativeCorrected,pearce1_map,pearce1_mapCorrected,pearce2_map,pearce2_mapCorrected,pearce2_iterative,pearce2_iterativeCorrected
12,38,3,2,v,2,v,2,v,3,v,1,X,3,X,1,v,1,v,3,v
12,41,1,2,v,2,v,2,v,3,v,1,v,4,X,1,v,1,v,3,v
13,1,13,2,v,1,v,1,v,1,v,1,v,1,X,1,v,0,v,1,v
13,5,13,2,v,1,v,1,v,2,v,1,v,2,X,1,v,1,v,1,v
13,8,12,2,v,1,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
13,11,13,2,v,1,v,1,v,2,v,1,v,2,X,1,v,0,v,2,v
13,15,12,2,v,1,v,1,v,2,v,1,X,3,X,1,v,1,v,2,v
13,18,8,2,v,1,v,1,v,2,v,1,X,3,X,1,v,1,v,2,v
13,21,3,1,v,1,v,1,v,2,v,1,X,3,X,1,v,1,v,2,v
13,25,5,2,v,1,v,2,v,2,v,1,X,3,X,1,v,1,v,2,v
13,28,3,2,v,2,v,1,v,2,v,2,X,3,X,1,v,1,v,3,v
13,32,3,2,v,2,v,2,v,2,v,1,X,3,X,1,v,1,v,3,v
13,35,3,2,v,2,v,2,v,3,v,1,X,4,X,1,v,1,v,3,v
13,38,2,2,v,2,v,2,v,3,v,1,v,3,X,1,v,1,v,3,v
13,42,1,2,v,2,v,2,v,3,v,1,v,3,X,1,v,1,v,3,v
13,45,1,2,v,2,v,2,v,3,v,1,v,3,X,1,v,1,v,3,v
13,49,1,2,v,2,v,2,v,4,v,2,v,4,X,1,v,1,v,4,v
14,1,14,2,v,1,v,1,v,1,v,1,v,1,X,1,v,0,v,1,v
14,5,14,2,v,1,v,1,v,1,v,1,v,2,X,1,v,0,v,1,v
14,9,14,2,v,1,v,1,v,2,v,1,v,2,X,1,v,1,v,1,v
14,13,11,2,v,1,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
14,17,9,2,v,2,v,1,v,2,v,1,X,3,X,1,v,1,v,2,v
14,21,9,2,v,2,v,1,v,2,v,1,X,3,X,1,v,1,v,2,v
14,25,11,2,v,2,v,1,v,2,v,1,X,3,X,1,v,1,v,2,v
14,29,7,2,v,2,v,2,v,3,v,2,X,3,X,1,v,1,v,3,v
14,33,4,2,v,2,v,2,v,2,v,2,X,3,X,1,v,1,v,3,v
14,37,1,2,v,2,v,2,v,3,v,1,v,4,X,1,v,1,v,3,v
14,41,5,2,v,2,v,2,v,3,v,2,v,3,X,1,v,1,v,3,v
14,45,1,2,v,2,v,2,v,4,v,2,v,4,X,1,v,1,v,4,v
14,48,1,2,v,2,v,2,v,3,v,2,v,4,X,2,v,1,v,3,v
14,52,2,2,v,2,v,2,v,3,v,2,X,4,X,2,v,1,v,3,v
14,56,1,2,v,2,v,2,v,4,v,2,v,4,X,1,v,1,v,4,v
15,2,15,2,v,1,v,1,v,1,v,1,v,2,X,1,v,0,v,1,v
15,6,15,2,v,1,v,1,v,1,v,1,v,2,X,1,v,0,v,1,v
15,11,15,2,v,1,v,1,v,2,v,1,v,2,X,1,v,1,v,2,v
15,15,14,2,v,2,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
15,20,8,2,v,2,v,2,v,3,v,2,X,3,X,1,v,1,v,2,v
15,24,8,2,v,2,v,2,v,2,v,1,X,3,X,1,v,1,v,3,v
15,29,12,2,v,2,v,2,v,3,v,2,X,3,X,1,v,1,v,3,v
15,33,8,2,v,2,v,2,v,3,v,2,X,3,X,2,v,1,v,3,v
15,38,3,2,v,2,v,2,v,2,v,2,v,4,X,1,v,1,v,3,v
15,42,1,2,v,2,v,2,v,3,v,1,v,4,X,7,v,1,v,3,v
15,47,2,2,v,2,v,2,v,3,v,2,X,4,X,1,v,1,v,3,v
15,51,2,2,v,2,v,2,v,3,v,2,v,4,X,2,v,1,v,4,v
15,56,1,2,v,2,v,2,v,3,v,2,v,4,X,2,v,1,v,4,v
15,60,1,2,v,2,v,2,v,4,v,2,v,5,X,2,v,1,v,4,v
15,65,4,2,v,3,v,2,v,4,v,2,X,5,X,2,v,1,v,4,v
16,2,16,2,v,1,v,1,v,2,v,1,v,2,X,1,v,0,v,1,v
16,7,16,2,v,1,v,1,v,1,v,1,v,2,X,1,v,1,v,1,v
16,12,15,2,v,2,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
16,17,12,2,v,2,v,2,v,2,v,2,X,2,X,1,v,1,v,2,v
16,23,15,2,v,2,v,1,v,3,v,1,X,3,X,1,v,1,v,2,v
16,28,15,2,v,2,v,2,v,2,v,1,X,3,X,1,v,1,v,2,v
16,33,4,2,v,2,v,2,v,3,v,2,X,3,X,2,v,1,v,3,v
16,38,5,2,v,2,v,2,v,3,v,2,X,4,X,2,v,1,v,3,v
16,43,1,2,v,2,v,2,v,3,v,2,v,4,X,2,v,1,v,3,v
16,48,2,2,v,2,v,2,v,4,v,2,X,4,X,2,v,1,v,4,v
16,53,2,2,v,2,v,2,v,4,v,2,v,4,X,2,v,1,v,4,v
16,58,1,2,v,2,v,2,v,3,v,2,v,5,X,2,v,1,v,4,v
16,63,2,2,v,3,v,2,v,3,v,2,v,4,X,2,v,1,v,4,v
16,69,1,2,v,2,v,2,v,4,v,2,v,5,X,2,v,1,v,4,v
16,74,5,3,v,3,v,2,v,4,v,2,X,6,X,2,v,1,v,5,v
17,2,17,2,v,1,v,1,v,1,v,1,v,2,X,1,v,0,v,1,v
17,8,15,2,v,1,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
17,14,15,2,v,2,v,1,v,2,v,1,v,2,X,1,v,1,v,2,v
17,20,17,2,v,2,v,1,v,2,v,1,v,3,X,1,v,1,v,2,v
17,26,12,2,v,2,v,2,v,3,v,2,X,3,X,2,v,1,v,3,v
17,31,11,3,v,2,v,2,v,3,v,2,X,3,X,2,v,1,v,3,v
17,37,11,2,v,2,v,2,v,3,v,2,X,4,X,2,v,1,v,3,v
17,43,2,2,v,2,v,2,v,3,v,2,v,4,X,2,v,2,v,3,v
17,49,4,2,v,2,v,2,v,3,v,2,X,4,X,2,v,1,v,3,v
17,54,3,2,v,2,v,2,v,4,v,2,X,5,X,2,v,1,v,4,v
17,60,2,2,v,2,v,2,v,4,v,2,X,5,X,2,v,1,v,4,v
17,66,1,2,v,2,v,2,v,4,v,2,v,5,X,2,v,1,v,4,v
17,72,1,2,v,3,v,2,v,4,v,2,v,5,X,2,v,2,v,4,v
17,78,1,3,v,3,v,2,v,4,v,2,v,6,X,2,v,2,v,5,v
17,83,1,2,v,3,v,2,v,4,v,2,v,5,X,2,v,1,v,5,v
18,3,18,2,v,2,v,1,v,2,v,1,v,2,X,1,v,1,v,2,v
18,9,17,2,v,2,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
18,16,16,2,v,2,v,2,v,2,v,1,X,3,X,1,v,1,v,2,v
18,22,18,2,v,2,v,1,v,2,v,1,v,3,X,1,v,1,v,2,v
18,29,7,2,v,2,v,2,v,3,v,2,X,3,X,2,v,1,v,3,v
18,35,4,2,v,2,v,2,v,4,v,2,X,4,X,2,v,1,v,4,v
18,42,6,2,v,3,v,2,v,3,v,2,X,4,X,2,v,1,v,3,v
18,48,3,2,v,2,v,2,v,4,v,2,X,4,X,2,v,1,v,4,v
18,55,4,2,v,3,v,2,v,4,v,2,X,4,X,2,v,1,v,4,v
18,61,1,2,v,2,v,2,v,4,v,2,v,5,X,2,v,1,v,4,v
18,68,2,3,v,3,v,2,v,4,v,2,v,5,X,2,v,2,v,4,v
18,74,2,2,v,3,v,2,v,4,v,3,v,5,X,2,v,2,v,5,v
18,80,2,2,v,3,v,2,v,4,v,2,v,6,X,2,v,2,v,5,v
18,87,1,2,v,3,v,3,v,4,v,2,v,6,X,2,v,2,v,5,v
18,93,1,2,v,3,v,2,v,16,v,3,v,6,X,2,v,2,v,5,v
19,3,19,3,v,1,v,1,v,2,v,1,v,2,X,1,v,0,v,1,v
19,10,19,3,v,2,v,1,v,2,v,1,v,2,X,1,v,1,v,2,v
19,18,17,3,v,2,v,2,v,3,v,2,X,3,X,1,v,1,v,3,v
19,25,16,3,v,2,v,2,v,3,v,2,X,4,X,2,v,1,v,3,v
19,32,11,3,v,2,v,2,v,3,v,2,X,4,X,2,v,1,v,3,v
19,39,1,2,v,2,v,2,v,4,v,2,v,4,X,2,v,1,v,4,v
19,46,7,3,v,2,v,2,v,4,v,2,X,5,X,2,v,1,v,4,v
19,54,4,3,v,3,v,2,v,3,v,2,X,5,X,2,v,2,v,4,v
19,61,3,3,v,3,v,2,v,5,v,3,X,5,X,2,v,1,v,5,v
19,68,3,2,v,3,v,2,v,4,v,2,X,5,X,2,v,2,v,4,v
19,75,2,3,v,3,v,2,v,4,v,3,v,5,X,2,v,2,v,5,v
19,83,1,2,v,3,v,2,v,4,v,2,v,6,X,2,v,2,v,5,v
19,90,1,3,v,3,v,2,v,4,v,2,v,6,X,2,v,2,v,5,v
19,97,1,3,v,3,v,3,v,5,v,2,v,6,X,2,v,2,v,5,v
19,104,1,3,v,3,v,3,v,5,v,3,v,6,X,2,v,2,v,5,v
20,3,20,2,v,1,v,1,v,2,v,1,v,2,X,1,v,1,v,2,v
20,11,20,2,v,2,v,1,v,2,v,1,v,2,X,1,v,1,v,2,v
20,19,18,3,v,2,v,2,v,2,v,2,X,3,X,1,v,1,v,2,v
20,27,8,3,v,2,v,2,v,3,v,2,v,4,X,2,v,1,v,3,v
20,35,11,3,v,2,v,2,v,3,v,2,X,4,X,2,v,1,v,4,v
20,43,9,3,v,2,v,2,v,4,v,2,X,5,X,2,v,1,v,4,v
20,51,7,3,v,3,v,2,v,4,v,3,X,5,X,2,v,2,v,4,v
20,59,3,3,v,3,v,2,v,5,v,2,X,5,X,2,v,2,v,5,v
20,67,3,3,v,3,v,2,v,4,v,2,X,5,X,2,v,2,v,4,v
20,75,2,2,v,3,v,2,v,4,v,2,v,5,X,2,v,2,v,5,v
20,83,1,3,v,3,v,2,v,5,v,2,v,6,X,2,v,2,v,5,v
20,91,3,3,v,3,v,2,v,5,v,3,X,6,X,2,v,2,v,5,v
20,99,2,3,v,3,v,3,v,6,v,3,X,7,X,3,v,2,v,6,v
20,107,1,3,v,3,v,3,v,5,v,3,v,6,X,2,v,2,v,6,v
20,115,1,3,v,3,v,3,v,5,v,2,v,7,X,2,v,2,v,6,v
21,4,21,3,v,1,v,1,v,2,v,1,v,2,X,1,v,1,v,2,v
21,13,21,3,v,2,v,1,v,2,v,1,v,2,X,1,v,1,v,2,v
21,22,21,2,v,2,v,2,v,2,v,2,v,3,X,1,v,1,v,2,v
21,30,17,2,v,2,v,2,v,3,v,2,X,4,X,2,v,1,v,3,v
21,39,10,3,v,2,v,2,v,3,v,2,X,4,X,2,v,1,v,3,v
21,48,9,3,v,3,v,2,v,5,v,2,X,5,X,2,v,2,v,5,v
21,57,7,3,v,3,v,2,v,5,v,2,X,6,X,2,v,2,v,5,v
21,66,2,3,v,3,v,3,v,4,v,3,X,5,X,2,v,2,v,5,v
21,74,1,3,v,3,v,2,v,5,v,2,v,6,X,2,v,2,v,5,v
21,83,1,3,v,3,v,2,v,5,v,3,v,6,X,2,v,2,v,5,v
21,92,1,2,v,3,v,3,v,5,v,3,v,6,X,2,v,2,v,5,v
21,101,1,3,v,3,v,3,v,5,v,3,v,6,X,2,v,2,v,5,v
21,110,1,3,v,3,v,3,v,5,v,3,v,7,X,2,v,2,v,6,v
21,119,1,3,v,3,v,3,v,6,v,3,v,7,X,2,v,2,v,7,v
21,127,2,3,v,4,v,3,v,6,v,3,v,7,X,3,v,2,v,7,v
22,4,22,3,v,2,v,1,v,2,v,1,v,2,X,1,v,1,v,2,v
22,14,22,3,v,2,v,2,v,2,v,1,v,3,X,1,v,1,v,2,v
22,24,18,3,v,2,v,2,v,3,v,2,X,3,X,2,v,1,v,3,v
22,33,9,2,v,2,v,2,v,3,v,2,X,4,X,2,v,2,v,3,v
22,43,7,3,v,3,v,2,v,4,v,2,X,5,X,2,v,2,v,4,v
22,53,5,3,v,3,v,3,v,4,v,2,X,5,X,2,v,2,v,4,v
22,62,2,3,v,3,v,2,v,5,v,2,v,6,X,2,v,2,v,5,v
22,72,3,3,v,3,v,3,v,4,v,2,X,6,X,2,v,2,v,5,v
22,82,1,3,v,3,v,3,v,5,v,3,v,6,X,3,v,2,v,6,v
22,91,1,4,v,3,v,3,v,5,v,3,v,6,X,2,v,2,v,6,v
22,101,1,3,v,3,v,3,v,5,v,3,v,6,X,2,v,2,v,6,v
22,111,2,3,v,3,v,3,v,5,v,3,v,7,X,3,v,2,v,6,v
22,120,1,3,v,3,v,3,v,5,v,3,v,7,X,3,v,2,v,6,v
22,130,1,3,v,4,v,3,v,6,v,3,v,8,X,3,v,2,v,7,v
22,140,1,3,v,4,v,3,v,6,v,3,v,7,X,3,v,2,v,7,v
23,5,23,3,v,2,v,2,v,2,v,1,v,2,X,1,v,1,v,2,v
23,15,22,3,v,2,v,2,v,2,v,2,X,3,X,1,v,1,v,2,v
23,26,21,3,v,2,v,2,v,3,v,2,X,4,X,2,v,1,v,3,v
23,37,22,3,v,3,v,2,v,3,v,2,v,4,X,2,v,12,v,4,v
23,47,6,3,v,3,v,3,v,5,v,3,X,6,X,3,v,2,v,5,v
23,58,6,3,v,3,v,3,v,4,v,3,X,5,X,2,v,2,v,5,v
23,68,3,3,v,3,v,3,v,5,v,2,v,6,X,2,v,2,v,6,v
23,79,2,3,v,3,v,3,v,5,v,3,X,6,X,2,v,2,v,5,v
23,89,1,3,v,3,v,3,v,5,v,3,v,6,X,2,v,2,v,5,v
23,100,2,4,v,3,v,3,v,5,v,3,X,7,X,3,v,2,v,6,v
23,111,2,3,v,3,v,3,v,6,v,3,v,7,X,3,v,2,v,7,v
23,121,1,3,v,3,v,3,v,5,v,3,v,7,X,3,v,2,v,6,v
23,132,1,3,v,4,v,3,v,8,v,3,v,9,X,3,v,2,v,8,v
23,142,1,4,v,4,v,3,v,7,v,3,v,8,X,3,v,2,v,8,v
